topic_name|text_seg|count
PEKUL|pecul|1
PETATAYUB|petatayub|1
PETATAYUB|petayub|1
PLEYADAS|motz|2
POPOL_WINAQ_CHI_TUY|popol vinac, chituy|1
POPOL_WINAQ_PA_JOM_TZALATZ|Popolvinac pahom tzalatz|1
POPOL_WINAQ_PA_JOM_TZALATZ|Popolvínac pahom. tzalatz|1
POPOL_WINAQ_PA_JOM_TZALATZ|popol vinac, pahom tzalatz|1
POPOL_WINAQ_PA_JOM_TZALATZ|popol vínac|1
POPOL_WINAQ_PA_JOM_TZALATZ|popol vínac pahom tzalatz|1
PUSBAL_CHAAJ|donde echaban la zeníza|1
PUSBAL_CHAAJ|pucbal chah|1
Q,IQUINAHA|q,íquínaha|1
QAHOLOM|qaholom|1
QALEL_ACHIJ|v ealel achih|2
QALEL_KAMJA|Ahau ꜫalel camha|1
QALEL_KAMJA|calecamha|1
QALEL_KAMJA|ꜫalel camha|1
QALEL_SAQIK|ealel zaquic|2
QALEL_SAQIK|ealel zaquíc|1
QAQ_LAQAM|Caelacan|2
QUINAHA|quinaha|1
QUITZALCUAT|quiꜩalcuat|1
QUITZALCUAT|quítzalcuat|1
QUKUMATZ|gucumaꜩ|3
QUKUMATZ|qucumaꜩ|1
QUKUMATZ_PERSONA|Rey cucumatz|3
QUKUMATZ_PERSONA|cucumatz|2
QUKUMATZ_PERSONA|ri cucumatz|2
QUMARAQ_AJ|cumarcaah|3
QUMARAQ_AJ|cumarcaaj|1
RABINAL|rabinaleb|1
RABINALEB|Rabinal|1
RABINALEB|Rabínal|3
RABINALEB|rabinaleb|6
RABINALEB|rabínal|2
RAJPOP_ACHIJ|rah pop achíh|1
RAJPOP_ACHIJ|rahpop achih|1
RAJTZALAM_ACHIJ|rah tzalam achíh|1
RAJTZALAM_ACHIJ|rahtzalam achih|1
RAXA_KAQULJA|raxa caculha|7
RAXA_KAQULJA|raxacaculha|1
RAXA_KAQULJA|verde rayo|1
RIO_DE_SANGRE|chiquiquia|1
RIO_DE_SANGRE|vn río q’ era de sangre|1
SANTA_CRUZ|Sta.Santa Cruz|1
SANTA_CRUZ|StaSantaCruz.|1
SAQIK|Chínamítales|1
SAQIK|chinamit|3
SAQIK|chinamital|1
SAQIK|chínamítales|5
SAQI_NIM_AQ_SIS|Zaquinima ꜩÿz|1
SAQI_NIM_AQ_SIS|blanco pizote|1
SAQI_NIM_AQ_SIS|pízote|1
SAQI_NIM_AQ_SIS|zaquinimac ꜩÿz|1
SAQKABAJA|rizacabaha|1
SAQKABAJA|zacabaha|1
SAQULEWAB|vtinamit chicut zaculeuab|1
SAQULEWAB|zaculeuab|3
SIPAKNA|zípacna|2
SUYWA|zu|1
SUYWA|zuiva|1
TAMUB|tamub|14
TEKUM_TRECEAVA|Tecum|2
TEPEPUL_TRECEAVA|tepepul|2
TEPEU_QUKUMATZ|tepeu, y cucumaꜩ|1
TEPEW_OLOMAN|tepeu oliman|1
TEPEW_OLOMAN|tepeu olíman|1
TEPEW_QUKUMATZ|Sor. culebra fuerte|1
TEPEW_QUKUMATZ|Sor.fuerte culebra|1
TEPEW_QUKUMATZ|tepeu gucumaꜩ|6
TEPEW_QUKUMATZ|tepeu y gucumaꜩ|1
TEPEW_QUKUMATZ|tepeu, gucumaꜩ|2
TEPEW_QUKUMATZ|tepeu, qucumaꜩ|2
TEPEW_QUKUMATZ|tepeu. gucumaꜩ.|1
TINAMIT_KICHE|tinamit quiche|1
TOH|toh|1
TOJ|toh|1
TOJIL|ritohil|1
TOJIL|tohil|28
TOJIL|tohíl|31
TUJAL_JA|tuhala|1
TUJAL_JA|tuhalaha|1
TUJAL_JA|tuhalha|2
TULAN|tulan|7
TULAN|tulanzu|6
TULÁN|tulan|2
TZACOL|el criador|1
TZACOL|ꜩacol|1
TZAQOL|Me.|1
TZAQOL|críador|2
TZAQOL|el críador|1
TZAQOL|formador|1
TZAQOL|formadores|3
TZAQOL|los formadores|1
TZAQOL|vchuch|1
TZAQOL|ꜩacol|10
TZOLOJ_CHE|momostenango|1
TZOLOJ_CHE|tzolohche|1
TZOTZIJA|ꜩoꜩiha|1
TZOTZIJA|ꜩoꜩíha|1
TZUTUJA|tzutuha|1
UCHABAJA|vchabaha|3
UCHABAJA|vchabaho|1
UCHUCH_KAMJA|Vchuch camha|2
UCHUCH_KAMJA|uchuch camha|1
UCHUCH_KAMJA|v chuch camha|1
UCHUCH_KAMJA|vchuch camha|1
UKUX_CAJ|vquxcah|1
UKUX_KAJ|Sor. el corazon de el zíelo, q’se llama huracan|1
UKUX_KAJ|athuracan|1
UKUX_KAJ|corazon de el cielo|1
UKUX_KAJ|corazon de el zielo|3
UKUX_KAJ|el corazon de el cíelo|1
UKUX_KAJ|el corazon de el zielo, q’se llama huracan|1
UKUX_KAJ|el corazon de el zíelo|1
UKUX_KAJ|huracan|7
UKUX_KAJ|tu coraçon de el çíelo|1
UKUX_KAJ|vqux cah|5
UKUX_KAJ|vqux cah huracan|1
UKUX_KAJ|vqux cah, huracan|1
UKUX_KAJ_UKUX_ULEW|at vquxcah vleu|1
UKUX_KAJ_UKUX_ULEW|corazón de el çíelo, y tíerra|1
UKUX_KAJ_UKUX_ULEW|el corazon de el zielo|1
UKUX_KAJ_UKUX_ULEW|el corazon de el zielo, y el cora zon de la tierra|1
UKUX_ULEW|tu corazon de la tierra|1
UKUX_ULEW|vqux vleu|1
UKUX_ULEW|vquxuleu|1
UKUX_ULEW|vquxvleuh|1
UTZAM_ACHIJ|v tzamachíh|1
UTZAM_ACHIJ|vtzam achih|1
VOLCAN_DE_ACATENANGO|hun ahpu|2
VOLCAN_DE_FUEGO|chicac|1
VUKUB_KAME|vucub came|1
VUKUB_KAME|vvcub came|1
VUKUB_KAME|vvcubcame|1
WAJXAQIB_KAM|Vahxaqui caam|1
WAJXAQIB_KAM|Vahxaquí caam|1
WINAQ_BALAM|Vinac bam|1
WINAQ_BALAM|Vínac bam|1
WOK|ala|1
WOK|la|4
WOK|rasgaron|1
WOK|su|1
WUQUB_AJ|Vucub ah|1
WUQUB_AJ|Vucubah|1
WUQUB_JUNAJPU|vucub hun ahpu|2
WUQUB_JUNAJPU|vucubhun ahpu|1
WUQUB_JUNAJPU|vvcub hun ahpu|5
WUQUB_JUNAJPU|vvcub hunahpu|5
WUQUB_JUNAJPU|vvcubhunahpu|1
WUQUB_JUNAJPUE|vucubcame|1
WUQUB_KAKIX|vcub caquix|1
WUQUB_KAKIX|vucub ca quix|1
WUQUB_KAKIX|vucub caquix|2
WUQUB_KAKIX|vvcub caquix|4
WUQUB_KAKIX|vvcub caquíx|3
WUQUB_KAKIX|vvcubcaquix|1
